temperature,time,concentration,type
7.0,104.96240601503759,1202301835.457225,预测
7.0,105.26315789473684,1256474991.5559301,预测
7.0,105.56390977443608,1312724858.5063381,预测
7.0,105.86466165413533,1371098034.155194,预测
7.0,106.16541353383458,1431639138.0617526,预测
7.0,106.46616541353383,1494390489.5829804,预测
7.0,106.76691729323308,1559391771.385533,预测
7.0,107.06766917293233,1626679679.7457163,预测
7.0,107.36842105263158,1696287563.3079815,预测
7.0,107.66917293233082,1768245052.296937,预测
7.0,107.96992481203007,1842577680.5141864,预测
7.0,108.27067669172932,1919306502.7942502,预测
7.0,108.57142857142857,1998447710.9383686,预测
7.0,108.87218045112782,2080012251.4837477,预测
7.0,109.17293233082707,2164005448.9923244,预测
7.0,109.47368421052632,2250426638.8483863,预测
7.0,109.77443609022556,2339268813.8302474,预测
7.0,110.07518796992481,2430518288.9574885,预测
7.0,110.37593984962406,2524154389.3038464,预测
7.0,110.6766917293233,2620149165.5947466,预测
7.0,110.97744360902254,2718467142.4712377,预测
7.0,111.27819548872179,2819065104.2866864,预测
7.0,111.57894736842104,2921891923.2042885,预测
7.0,111.87969924812029,3026888434.1727395,预测
7.0,112.18045112781954,3133987361.071915,预测
7.0,112.48120300751879,3243113297.93515,预测
7.0,112.78195488721803,3354182748.670672,预测
7.0,113.08270676691728,3467104228.123375,预测
7.0,113.38345864661653,3581778426.6440663,预测
7.0,113.68421052631578,3698098439.575509,预测
7.0,113.98496240601503,3815950062.23269,预测
7.0,114.28571428571428,3935212150.063504,预测
7.0,114.58646616541353,4055757042.741556,预测
7.0,114.88721804511277,4177451049.982945,预测
7.0,115.18796992481202,4300154995.917001,预测
7.0,115.48872180451127,4423724817.893872,预测
7.0,115.78947368421052,4548012214.708756,预测
7.0,116.09022556390977,4672865338.379128,预测
7.0,116.39097744360902,4798129522.854043,预测
7.0,116.69172932330827,4923648042.380352,预测
7.0,116.99248120300751,5049262891.718947,预测
7.0,117.29323308270676,5174815580.007453,预测
7.0,117.59398496240601,5300147929.817144,预测
7.0,117.89473684210526,5425102872.856489,预测
7.0,118.19548872180451,5549525233.835171,预测
7.0,118.49624060150376,5673262494.218977,预测
7.0,118.796992481203,5796165527.970834,预测
7.0,119.09774436090225,5918089301.877458,预测
7.0,119.3984962406015,6038893533.690179,预测
7.0,119.69924812030075,6158443302.045162,预测
7.0,120.0,6276609602.954658,预测
8.0,0.0,195.99999999999991,预测
8.0,0.3007518796992481,197.85876921356726,预测
8.0,0.6015037593984962,199.82156165275188,预测
8.0,0.9022556390977443,201.8941988210007,预测
8.0,1.2030075187969924,204.0828280134464,预测
8.0,1.5037593984962405,206.3939405493451,预测
8.0,1.8045112781954886,208.8343910248717,预测
8.0,2.1052631578947367,211.41141764336265,预测
8.0,2.406015037593985,214.13266368331375,预测
8.0,2.706766917293233,217.00620016780167,预测
8.0,3.007518796992481,220.04054980256467,预测
8.0,3.308270676691729,223.24471225374054,预测
8.0,3.6090225563909772,226.6281908402385,预测
8.0,3.9097744360902253,230.20102071990522,预测
8.0,4.2105263157894735,233.97379865308983,预测
8.0,4.511278195488721,237.957714431881,预测
8.0,4.81203007518797,242.16458406823241,预测
8.0,5.112781954887218,246.60688483941345,预测
8.0,5.413533834586466,251.29779229472427,预测
8.0,5.7142857142857135,256.25121933323516,预测
8.0,6.015037593984962,261.4818574684525,预测
8.0,6.315789473684211,267.0052204023009,预测
8.0,6.616541353383458,272.8376900376534,预测
8.0,6.917293233082706,278.9965650658869,预测
8.0,7.2180451127819545,285.50011227356265,预测
8.0,7.518796992481203,292.36762072041006,预测
8.0,7.819548872180451,299.61945894929687,预测
8.0,8.120300751879698,307.2771353978677,预测
8.0,8.421052631578947,315.36336219103043,预测
8.0,8.721804511278195,323.90212250348856,预测
8.0,9.022556390977442,332.918741692116,预测
8.0,9.32330827067669,342.4399624091472,预测
8.0,9.62406015037594,352.49402391895967,预测
8.0,9.924812030075188,363.110745853701,预测
8.0,10.225563909774436,374.32161665617,预测
8.0,10.526315789473683,386.159886972266,预测
8.0,10.827067669172932,398.6606682700063,预测
8.0,11.12781954887218,411.86103697760166,预测
8.0,11.428571428571427,425.8001444494596,预测
8.0,11.729323308270676,440.51933308626667,预测
8.0,12.030075187969924,456.06225895354777,预测
8.0,12.330827067669173,472.4750212623877,预测
8.0,12.631578947368421,489.8062990963353,预测
8.0,12.932330827067668,508.1074957900197,预测
8.0,13.233082706766917,527.4328913876873,预测
8.0,13.533834586466165,547.8398036338453,预测
8.0,13.834586466165412,569.3887579734961,预测
8.0,14.13533834586466,592.1436670661594,预测
8.0,14.436090225563909,616.1720203461281,预测
8.0,14.736842105263158,641.5450841911484,预测
8.0,15.037593984962406,668.3381132932387,预测
8.0,15.338345864661653,696.6305738585295,预测
8.0,15.639097744360901,726.5063792981387,预测
8.0,15.93984962406015,758.0541391090968,预测
8.0,16.240601503759397,791.3674216835044,预测
8.0,16.541353383458645,826.5450318253871,预测
8.0,16.842105263157894,863.6913037983115,预测
8.0,17.142857142857142,902.9164107729664,预测
8.0,17.44360902255639,944.3366915924502,预测
8.0,17.74436090225564,988.0749958244627,预测
8.0,18.045112781954884,1034.2610481237605,预测
8.0,18.345864661654133,1083.0318329855738,预测
8.0,18.64661654135338,1134.5320010310998,预测
8.0,18.94736842105263,1188.9142980300917,预测
8.0,19.24812030075188,1246.3400179329801,预测
8.0,19.548872180451127,1306.9794812561775,预测
8.0,19.849624060150376,1371.0125402394033,预测
8.0,20.150375939849624,1438.6291122732766,预测
8.0,20.451127819548873,1510.0297431792794,预测
8.0,20.751879699248118,1585.4262020126994,预测
8.0,21.052631578947366,1665.0421091526978,预测
8.0,21.353383458646615,1749.113599542327,预测
8.0,21.654135338345863,1837.8900230456154,预测
8.0,21.954887218045112,1931.6346839988792,预测
8.0,22.25563909774436,2030.6256221497076,预测
8.0,22.55639097744361,2135.1564372997796,预测
8.0,22.857142857142854,2245.5371600972994,预测
8.0,23.157894736842103,2362.095171561742,预测
8.0,23.45864661654135,2485.176174068052,预测
8.0,23.7593984962406,2615.145216670191,预测
8.0,24.06015037593985,2752.3877778049095,预测
8.0,24.360902255639097,2897.3109085869814,预测
8.0,24.661654135338345,3050.344440086695,预测
8.0,24.962406015037594,3211.9422581702743,预测
8.0,25.263157894736842,3382.583649684137,预测
8.0,25.563909774436087,3562.7747239756713,预测
8.0,25.864661654135336,3753.049913966421,预测
8.0,26.165413533834585,3953.973561229775,预测
8.0,26.466165413533833,4166.141589774047,预测
8.0,26.76691729323308,4390.183273495301,预测
8.0,27.06766917293233,4626.763102541736,预测
8.0,27.36842105263158,4876.582754124932,预测
8.0,27.669172932330824,5140.383173623152,预测
8.0,27.969924812030072,5418.946772148676,预测
8.0,28.27067669172932,5713.099747096795,预测
8.0,28.57142857142857,6023.714532558677,预测
8.0,28.872180451127818,6351.712386865644,预测
8.0,29.172932330827066,6698.066124938712,预测
8.0,29.473684210526315,7063.803003547038,预测
8.0,29.774436090225564,7450.007768032306,预测
8.0,30.075187969924812,7857.825869534745,预测
8.0,30.375939849624057,8288.466862262136,预测
8.0,30.676691729323306,8743.207990877667,预测
8.0,30.977443609022554,9223.397978645029,预测
8.0,31.278195488721803,9730.461027566016,预测
8.0,31.57894736842105,10265.901042373345,预测
8.0,31.8796992481203,10831.306090905955,预测
8.0,32.180451127819545,11428.353114094294,预测
8.0,32.48120300751879,12058.812899524703,预测
8.0,32.78195488721804,12724.555333331306,预测
8.0,33.08270676691729,13427.554945991984,预测
8.0,33.38345864661654,14169.89676847373,预测
8.0,33.68421052631579,14953.78251609516,预测
8.0,33.984962406015036,15781.537118444403,预测
8.0,34.285714285714285,16655.615614717113,预测
8.0,34.58646616541353,17578.6104349229,预测
8.0,34.88721804511278,18553.259088552575,预测
8.0,35.18796992481203,19582.452283507057,预测
8.0,35.48872180451128,20669.242499363067,预测
8.0,35.78947368421053,21816.853040400685,预测
8.0,36.09022556390977,23028.687595236806,预测
8.0,36.39097744360902,24308.340331413274,预测
8.0,36.691729323308266,25659.606554873324,预测
8.0,36.992481203007515,27086.493965934307,预测
8.0,37.29323308270676,28593.23454513426,预测
8.0,37.59398496240601,30184.297104195703,预测
8.0,37.89473684210526,31864.40053932371,预测
8.0,38.19548872180451,33638.52782613461,预测
8.0,38.49624060150376,35511.94079771277,预测
8.0,38.796992481203006,37490.19574961272,预测
8.0,39.097744360902254,39579.15991807575,预测
